index,recordDate,recordTime,recordEpoch,district,locationName,nearbyPlace,longitude,latitude,elevation,direction,county,route,routeSuffix,postmilePrefix,postmile,alignment,milepost,inService,imageDescription,streamingVideoURL,currentImageUpdateFrequency,currentImageURL,referenceImageUpdateFrequency,referenceImage1UpdateAgoURL,referenceImage2UpdatesAgoURL,referenceImage3UpdatesAgoURL,referenceImage4UpdatesAgoURL,referenceImage5UpdatesAgoURL,referenceImage6UpdatesAgoURL,referenceImage7UpdatesAgoURL,referenceImage8UpdatesAgoURL,referenceImage9UpdatesAgoURL,referenceImage10UpdatesAgoURL,referenceImage11UpdatesAgoURL,referenceImage12UpdatesAgoURL
1,2020-07-24,20:17:11,1595647031,3,"Hwy 5 at Pocket",Sacramento,-121.510528,38.481128,22,Median,Sacramento,I-5,,,16.13,,511.43,true,,https://wzmedia.dot.ca.gov/D3/5_pocket.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/hwy5atpocket.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atpocket/previous/hwy5atpocket-12.jpg
2,2020-09-15,09:43:49,1600188229,3,"Hwy 5 at Florin",Sacramento,-121.51647,38.495353,22,Median,Sacramento,I-5,,,17.17,,512.46,true,,https://wzmedia.dot.ca.gov/D3/5_florin.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/hwy5atflorin.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atflorin/previous/hwy5atflorin-12.jpg
3,2019-05-08,11:21:48,1557339708,3,"Hwy 5 at Gloria",Sacramento,-121.522427,38.509961,26,South,Sacramento,I-5,,,18.24,,513.53,true,,https://wzmedia.dot.ca.gov/D3/5_gloria.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/hwy5atgloria.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atgloria/previous/hwy5atgloria-12.jpg
4,2020-05-13,16:54:42,1589414082,3,"Hwy 5 at 43rd Ave",Sacramento,-121.52178,38.516437,22,North,Sacramento,I-5,,,18.68,,513.76,true,,https://wzmedia.dot.ca.gov/D3/5_43rd.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/hwy5at43rdave.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at43rdave/previous/hwy5at43rdave-12.jpg
5,2020-08-05,09:00:12,1596643212,3,"Hwy 5 at Seamas",Sacramento,-121.521413,38.526032,22,South,Sacramento,I-5,,,19.33,,514.62,true,,https://wzmedia.dot.ca.gov/D3/5_seamas.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/hwy5atseamas.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atseamas/previous/hwy5atseamas-12.jpg
7,2021-01-15,06:12:50,1610719970,3,"Hwy 5 at Sutterville",Sacramento,-121.510692,38.540832,32,Median,Sacramento,I-5,,,20.54,,515.84,true,,https://wzmedia.dot.ca.gov/D3/5_sutterville.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/hwy5atsutterville.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atsutterville/previous/hwy5atsutterville-12.jpg
8,2021-01-26,10:23:28,1611685408,3,"Hwy 5 at 6th Ave",Sacramento,-121.511147,38.551531,19,Median,Sacramento,I-5,,,21.3,,516.6,true,,https://wzmedia.dot.ca.gov/D3/5_6th.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/hwy5at6thave.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5at6thave/previous/hwy5at6thave-12.jpg
9,2019-03-18,11:54:27,1552935267,3,"Hwy 5 at Vallejo",Sacramento,-121.514391,38.560145,19,Median,Sacramento,I-5,,,21.93,,517.22,true,,https://wzmedia.dot.ca.gov/D3/5_vallejo.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/hwy5atvallejo.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atvallejo/previous/hwy5atvallejo-12.jpg
10,2019-07-30,8:36:46,1564501006,3,"Hwy 5 at Broadway",Sacramento,-121.512289,38.566672,26,North,Sacramento,I-5,,,22.42,,517.71,true,,https://wzmedia.dot.ca.gov/D3/5_broadway.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/hwy5atbroadway.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5atbroadway/previous/hwy5atbroadway-12.jpg
11,2020-01-08,21:49:10,1578548950,3,"Hwy 5 at Hwy 50",Sacramento,-121.509993,38.568818,3,North,Sacramento,I-5,,,22.62,,517.92,true,,https://wzmedia.dot.ca.gov/D3/5_jct50.stream/playlist.m3u8,1,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/hwy5athwy50.jpg,15,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-1.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-2.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-3.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-4.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-5.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-6.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-7.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-8.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-9.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-10.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-11.jpg,https://cwwp2.dot.ca.gov/data/d3/cctv/image/hwy5athwy50/previous/hwy5athwy50-12.jpg
